run_at,signal_date,manual_action_date,ts_code,stock_name,action,suggested_shares,reference_close,sma,cash_before_signal,portfolio_value,status,reason,manual_checklist
2026-06-27 16:03:35,2024-01-29,next trading day,600519.SH,贵州茅台,WAIT,0,1650.0,1642.1055,100000.0,100000.0,watch_only,"Buy signal, but available cash is not enough for one lot.",1. Open broker paper account; 2. Confirm code/action/shares; 3. Enter order manually; 4. Mark result in your trading journal.
2026-06-27 16:03:35,2024-02-05,next trading day,600519.SH,贵州茅台,WAIT,0,1630.01,1627.035,100000.0,100000.0,watch_only,"Buy signal, but available cash is not enough for one lot.",1. Open broker paper account; 2. Confirm code/action/shares; 3. Enter order manually; 4. Mark result in your trading journal.
2026-06-27 16:03:35,2024-02-06,next trading day,600519.SH,贵州茅台,WAIT,0,1676.0,1628.785,100000.0,100000.0,watch_only,"Buy signal, but available cash is not enough for one lot.",1. Open broker paper account; 2. Confirm code/action/shares; 3. Enter order manually; 4. Mark result in your trading journal.
2026-06-27 16:03:35,2024-02-07,next trading day,600519.SH,贵州茅台,WAIT,0,1710.99,1632.2595,100000.0,100000.0,watch_only,"Buy signal, but available cash is not enough for one lot.",1. Open broker paper account; 2. Confirm code/action/shares; 3. Enter order manually; 4. Mark result in your trading journal.
2026-06-27 16:03:35,2024-02-08,next trading day,600519.SH,贵州茅台,WAIT,0,1706.0,1635.231,100000.0,100000.0,watch_only,"Buy signal, but available cash is not enough for one lot.",1. Open broker paper account; 2. Confirm code/action/shares; 3. Enter order manually; 4. Mark result in your trading journal.
2026-06-27 16:03:35,2024-02-19,next trading day,600519.SH,贵州茅台,WAIT,0,1695.43,1637.8495,100000.0,100000.0,watch_only,"Buy signal, but available cash is not enough for one lot.",1. Open broker paper account; 2. Confirm code/action/shares; 3. Enter order manually; 4. Mark result in your trading journal.
2026-06-27 16:03:35,2024-02-20,next trading day,600519.SH,贵州茅台,WAIT,0,1670.0,1639.3495,100000.0,100000.0,watch_only,"Buy signal, but available cash is not enough for one lot.",1. Open broker paper account; 2. Confirm code/action/shares; 3. Enter order manually; 4. Mark result in your trading journal.
2026-06-27 16:03:35,2024-02-21,next trading day,600519.SH,贵州茅台,WAIT,0,1717.66,1643.261,100000.0,100000.0,watch_only,"Buy signal, but available cash is not enough for one lot.",1. Open broker paper account; 2. Confirm code/action/shares; 3. Enter order manually; 4. Mark result in your trading journal.
2026-06-27 16:03:35,2024-02-22,next trading day,600519.SH,贵州茅台,WAIT,0,1718.38,1650.33,100000.0,100000.0,watch_only,"Buy signal, but available cash is not enough for one lot.",1. Open broker paper account; 2. Confirm code/action/shares; 3. Enter order manually; 4. Mark result in your trading journal.
2026-06-27 16:03:35,2024-02-23,next trading day,600519.SH,贵州茅台,WAIT,0,1714.09,1655.491,100000.0,100000.0,watch_only,"Buy signal, but available cash is not enough for one lot.",1. Open broker paper account; 2. Confirm code/action/shares; 3. Enter order manually; 4. Mark result in your trading journal.
2026-06-27 16:03:35,2024-02-26,next trading day,600519.SH,贵州茅台,WAIT,0,1694.98,1658.49,100000.0,100000.0,watch_only,"Buy signal, but available cash is not enough for one lot.",1. Open broker paper account; 2. Confirm code/action/shares; 3. Enter order manually; 4. Mark result in your trading journal.
2026-06-27 16:03:35,2024-02-27,next trading day,600519.SH,贵州茅台,WAIT,0,1689.5,1660.865,100000.0,100000.0,watch_only,"Buy signal, but available cash is not enough for one lot.",1. Open broker paper account; 2. Confirm code/action/shares; 3. Enter order manually; 4. Mark result in your trading journal.
2026-06-27 16:03:35,2024-02-28,next trading day,600519.SH,贵州茅台,WAIT,0,1681.55,1663.9925,100000.0,100000.0,watch_only,"Buy signal, but available cash is not enough for one lot.",1. Open broker paper account; 2. Confirm code/action/shares; 3. Enter order manually; 4. Mark result in your trading journal.
2026-06-27 16:03:35,2024-02-29,next trading day,600519.SH,贵州茅台,WAIT,0,1695.0,1667.4425,100000.0,100000.0,watch_only,"Buy signal, but available cash is not enough for one lot.",1. Open broker paper account; 2. Confirm code/action/shares; 3. Enter order manually; 4. Mark result in your trading journal.
2026-06-27 16:03:35,2024-03-01,next trading day,600519.SH,贵州茅台,WAIT,0,1685.06,1669.7955,100000.0,100000.0,watch_only,"Buy signal, but available cash is not enough for one lot.",1. Open broker paper account; 2. Confirm code/action/shares; 3. Enter order manually; 4. Mark result in your trading journal.
2026-06-27 16:03:35,2024-03-04,next trading day,600519.SH,贵州茅台,WAIT,0,1676.3,1671.7445,100000.0,100000.0,watch_only,"Buy signal, but available cash is not enough for one lot.",1. Open broker paper account; 2. Confirm code/action/shares; 3. Enter order manually; 4. Mark result in your trading journal.
